timestamp,Soil humidity 1,Irrigation field 1,Soil humidity 2,Irrigation field 2,Soil humidity 3,Irrigation field 3,Soil humidity 4,Irrigation field 4,Air temperature (C),Air humidity (%),Pressure (KPa),Wind speed (Km/h),Wind gust (Km/h),Wind direction (Deg)
2019-02-23 00:00:00,67.92,0,55.72,0,-1.56,1,26.57,1,19.52,55.04,101.5,2.13,6.3,225
2019-02-23 00:05:00,67.89,0,55.74,0,-1.51,1,26.58,1,19.49,55.17,101.5,2.01,10.46,123.75
2019-02-23 00:10:00,67.86,0,55.77,0,-1.47,1,26.59,1,19.47,55.3,101.51,1.9,14.63,22.5
2019-02-23 00:15:00,67.84,0,55.79,0,-1.42,1,26.61,1,19.54,54.2,101.51,2.28,16.08,123.75
2019-02-23 00:20:00,67.81,0,55.82,0,-1.38,1,26.62,1,19.61,53.09,101.51,2.66,17.52,225
2019-02-23 00:25:00,67.78,0,55.85,0,-1.33,1,26.63,1,19.67,51.91,101.51,2.51,14.69,225
2019-02-23 00:30:00,67.76,0,55.87,0,-1.28,1,26.64,1,19.74,50.72,101.5,2.36,11.85,225
2019-02-23 00:35:00,67.73,0,55.9,0,-1.24,1,26.65,1,19.8,49.54,101.5,2.21,9.02,225
2019-02-23 00:40:00,67.7,0,55.92,0,-1.19,1,26.66,1,19.91,47.7,101.5,2.46,7.23,123.75
2019-02-23 00:45:00,67.68,0,55.95,0,-1.15,1,26.67,1,20.02,45.86,101.5,2.71,5.44,22.5
2019-02-23 00:50:00,67.65,0,55.97,0,-1.1,1,26.68,1,20.1,44.76,101.5,2.8,6.29,123.75
2019-02-23 00:55:00,67.62,0,56,0,-1.06,1,26.69,1,20.19,43.67,101.49,2.89,7.14,225
2019-02-23 01:00:00,67.59,0,56,0,-1.01,1,26.7,1,20.3,42.56,101.49,3,11.96,225
2019-02-23 01:05:00,67.57,0,56,0,-0.96,1,26.71,1,20.41,41.44,101.49,3.11,16.78,225
2019-02-23 01:10:00,67.54,0,56,0,-0.92,1,26.72,1,20.41,41.58,101.48,3.5,17.48,225
2019-02-23 01:15:00,67.51,0,56,0,-0.87,1,26.73,1,20.41,41.71,101.48,3.9,18.18,225
2019-02-23 01:20:00,67.49,0,56,0,-0.83,1,26.74,1,20.61,40.34,101.48,4.74,23.04,225
2019-02-23 01:25:00,67.46,0,56,0,-0.78,1,26.75,1,20.81,38.96,101.48,5.58,27.91,225
2019-02-23 01:30:00,67.43,0,56,0,-0.73,1,26.76,1,20.93,37.33,101.48,5.74,26.29,225
2019-02-23 01:35:00,67.41,0,56,0,-0.69,1,26.77,1,21.06,35.69,101.48,5.89,24.67,225
2019-02-23 01:40:00,67.38,0,56,0,-0.64,1,26.78,1,21.18,34.06,101.47,6.04,23.05,225
2019-02-23 01:45:00,67.35,0,56,0,-0.6,1,26.79,1,21.3,32.42,101.47,6.2,21.43,225
